"Object","Close-Approach (CA) Date (TDB)YYYY-mmm-DD HH:MM ± D_HH:MM","CA DistanceNominal(LD/AU)","CA DistanceMinimum(LD/AU)","Vrelative(km/s)","Vinfinity(km/s)","Nsigma","H(mag)","ref","class"
"(2016 GH1)","2016-Apr-05 07:16 ±","2.15/0.00551","2.14/0.00551","5.40","5.31","4.03e+03","27.5","3","APO*"
"(2016 GE1)","2016-Apr-05 11:29 ±","1.38/0.00356","1.38/0.00355","10.05","9.98","2.95e+03","26.6","5","APO*"
"(2016 EV27)","2016-Apr-06 19:19 ±","14.99/0.03852","14.99/0.03851","12.88","12.88","7e+03","23.4","24","APO*"
"(2016 GO206)","2016-Apr-06 20:02 ±   00:02","0.86/0.00220","0.85/0.00220","22.54","22.48","1.32e+03","26.3","4","APO*"
"(2016 JO5)","2016-Apr-06 22:58 ±   00:06","15.78/0.04054","15.73/0.04043","9.53","9.52","1.11e+03","23.4","6","APO*"
"(2016 FT13)","2016-Apr-07 06:21 ±","9.81/0.02520","9.78/0.02514","13.44","13.43","880","26.5","4","APO*"
"(2016 GH3)","2016-Apr-08 01:41 ±","7.85/0.02017","7.84/0.02015","5.65","5.62","1.94e+03","27.2","10","AMO*"
"(2016 GF2)","2016-Apr-08 03:22 ±","4.61/0.01185","4.59/0.01179","13.03","13.02","392","26.7","5","APO*"
"(2016 GO134)","2016-Apr-08 19:34 ±","0.86/0.00222","0.86/0.00221","15.26","15.18","904","27.6","2","APO*"
"(2016 GC207)","2016-Apr-09 09:13 ±","12.67/0.03256","12.63/0.03246","8.29","8.28","554","26.7","3","AMO*"
"(2016 GK134)","2016-Apr-09 11:57 ±","5.23/0.01343","5.21/0.01338","11.32","11.30","541","27.3","3","APO*"
"(2016 FG39)","2016-Apr-10 08:22 ±","4.44/0.01141","4.42/0.01136","7.65","7.62","461","26.9","5","APO*"
"(2016 GW220)","2016-Apr-10 23:41 ±","5.66/0.01455","5.65/0.01452","13.24","13.22","1.3e+03","26.8","6","APO*"
"(2016 FV13)","2016-Apr-11 00:13 ±","1.81/0.00465","1.81/0.00465","10.96","10.91","2.42e+04","25.8","11","APO*"
"(2016 GU)","2016-Apr-11 09:46 ±","2.69/0.00691","2.69/0.00691","10.34","10.30","4.06e+03","25.7","11","APO*"
"363599 (2004 FG11)","2016-Apr-11 16:39 ±","19.29/0.04956","19.29/0.04956","24.51","24.51","3.12e+06","21.0","59","APO*"
"(2016 GX220)","2016-Apr-12 07:19 ±","3.15/0.00808","3.14/0.00808","4.42","4.34","2.88e+03","28.8","3","APO*"
"(2016 HB)","2016-Apr-12 11:17 ±","10.57/0.02717","10.56/0.02712","7.92","7.91","1.14e+03","24.4","11","APO*"
"(2016 JB18)","2016-Apr-13 03:23 ±   00:14","1.32/0.00338","1.31/0.00337","3.45","3.22","947","27.3","12","APO*"
"(2005 GR33)","2016-Apr-13 03:28 ±","7.72/0.01985","7.72/0.01985","15.87","15.87","2.1e+05","22.1","25","ATE*"
"(2016 GC134)","2016-Apr-13 05:55 ±","9.04/0.02323","9.01/0.02315","4.75","4.72","455","26.2","6","APO*"
"(2016 FL12)","2016-Apr-13 08:58 ±","9.56/0.02457","9.53/0.02450","5.83","5.81","596","26.3","12","APO*"
"(2016 GD222)","2016-Apr-13 17:50 ±","6.69/0.01720","6.68/0.01716","8.72","8.70","804","25.9","7","APO*"
"(2016 FS14)","2016-Apr-14 16:03 ±","13.72/0.03525","13.69/0.03517","8.27","8.26","792","25.2","7","AMO*"
"(2016 GC221)","2016-Apr-15 00:34 ±","13.38/0.03439","13.35/0.03432","13.67","13.67","948","24.8","5","APO*"
"(2016 HT6)","2016-Apr-15 14:26 ±   00:23","5.21/0.01340","5.10/0.01311","10.76","10.74","94.3","25.7","3","APO*"
